0,17,10,1,2,0,34,333481
1,55,16,3,4,0,76,810353
1,35,15,1,3,0,29,341635
1,50,7,2,2,1,13,205987
1,35,20,1,1,1,106,821001
0,55,9,1,1,0,46,379450
1,45,1,2,1,1,16,234427
1,35,12,3,4,1,76,796545
1,35,17,3,0,0,57,593960
0,45,1,2,4,1,222,2169486
0,35,1,3,1,0,69,556902
1,35,12,3,2,0,11,120801
1,50,1,3,3,1,60,713927
1,45,0,3,0,0,13,127629
1,35,7,1,1,0,116,1047124
0,45,0,3,0,1,21,150428
1,55,1,3,0,0,114,1425501
0,25,3,2,3,0,179,1978675
1,17,10,1,3,0,144,1457938
1,35,14,1,0,0,12,185747
1,25,16,2,0,0,13,126744
1,25,15,1,4,0,155,1279678
1,45,0,2,3,1,171,1670998
0,35,7,1,3,1,76,720850
1,25,4,3,4,0,43,534215
1,35,7,2,2,1,226,1606174
1,35,11,3,1,1,41,448562
0,35,1,3,2,1,57,516560
1,45,7,3,1,0,52,696201
0,45,7,3,3,0,30,260985
1,55,7,3,2,0,64,496154
0,35,0,3,3,1,23,229000
1,50,3,1,1,1,215,1940043
0,25,0,1,0,0,99,807747
1,50,1,3,4,1,111,821303
1,35,3,2,0,0,199,2316532
0,35,9,3,1,0,30,248370
1,25,4,2,2,0,40,381977
0,25,4,3,3,0,15,146237
1,35,8,3,0,1,124,1483009
1,35,12,1,0,0,13,137548
1,50,17,2,3,1,120,1180380
0,50,16,1,1,1,162,928494
1,25,19,3,4,0,20,138367
1,25,4,3,4,1,14,131303
1,35,4,2,3,1,337,2787911
1,25,12,3,4,1,59,731991
0,35,2,1,1,1,24,198798
0,17,10,3,2,0,25,200772
1,25,4,3,0,0,42,523039
1,35,0,2,1,0,377,4270371
1,55,1,3,4,1,23,187201
0,45,12,2,1,0,13,134073
1,45,20,3,0,1,37,382860
1,25,19,3,2,0,42,312571
1,35,2,2,3,0,260,2896341
0,55,1,2,4,1,127,980068
1,55,1,3,1,1,35,279980
1,35,17,3,1,0,19,156299
0,45,3,1,1,0,281,2513136
1,25,4,3,2,0,63,553760
1,25,1,1,1,1,15,210948
1,45,12,3,2,1,66,892190
1,35,18,3,2,0,20,224910
0,55,5,3,4,1,36,352342
1,25,4,1,0,0,42,328177
0,35,1,1,1,0,35,315430
1,25,4,1,2,0,25,213755
